file,rows,cols,base_cols_count,timestamp_cols_count,null_cells,duplicate_rows,metrics_count,min_value,max_value,min_timestamp,max_timestamp,parse_timestamp_nulls,parse_value_nulls
AVAILABILITY-data - 2026-02-11T160311.568.csv,1,367,4,363,2,0,1,1504845.0,2759481.0,2026-02-06 22:59:40,2026-02-07 00:00:00,0,0
AVAILABILITY-data - 2026-02-11T160316.643.csv,1,45,4,41,2,0,1,29616.0,1506425.0,2026-02-06 23:59:40,2026-02-07 00:06:20,0,0
AVAILABILITY-data - 2026-02-11T160356.526.csv,1,296,4,292,2,0,1,155.0,19302.0,2026-02-07 06:11:30,2026-02-07 07:00:00,0,0
AVAILABILITY-data - 2026-02-11T160404.565.csv,1,367,4,363,2,0,1,18261.0,40542.0,2026-02-07 06:59:40,2026-02-07 08:00:00,0,0
AVAILABILITY-data - 2026-02-11T160410.510.csv,1,367,4,363,2,0,1,40139.0,491257.0,2026-02-07 07:59:40,2026-02-07 09:00:00,0,0
AVAILABILITY-data - 2026-02-11T160414.589.csv,1,367,4,363,2,0,1,491187.0,1596438.0,2026-02-07 08:59:40,2026-02-07 10:00:00,0,0
AVAILABILITY-data - 2026-02-11T160419.720.csv,1,367,4,363,2,0,1,1595653.0,2571654.0,2026-02-07 09:59:40,2026-02-07 11:00:00,0,0
AVAILABILITY-data - 2026-02-11T160425.291.csv,1,367,4,363,2,0,1,2570513.0,3290131.0,2026-02-07 10:59:40,2026-02-07 12:00:00,0,0
AVAILABILITY-data - 2026-02-11T160429.189.csv,1,367,4,363,2,0,1,3282257.0,4206976.0,2026-02-07 11:59:40,2026-02-07 13:00:00,0,0
AVAILABILITY-data - 2026-02-11T160434.574.csv,1,367,4,363,2,0,1,4205918.0,5063230.0,2026-02-07 12:59:40,2026-02-07 14:00:00,0,0
AVAILABILITY-data - 2026-02-11T160439.035.csv,1,367,4,363,2,0,1,5047077.0,5614753.0,2026-02-07 13:59:40,2026-02-07 15:00:00,0,0
AVAILABILITY-data - 2026-02-11T160443.729.csv,1,367,4,363,2,0,1,5438395.0,5738300.0,2026-02-07 14:59:40,2026-02-07 16:00:00,0,0
AVAILABILITY-data - 2026-02-11T160447.539.csv,1,367,4,363,2,0,1,5537579.0,5691115.0,2026-02-07 15:59:40,2026-02-07 17:00:00,0,0
AVAILABILITY-data - 2026-02-11T160451.387.csv,1,367,4,363,2,0,1,5314593.0,5596754.0,2026-02-07 16:59:40,2026-02-07 18:00:00,0,0
AVAILABILITY-data - 2026-02-11T160454.360.csv,1,367,4,363,2,0,1,5044375.0,5378848.0,2026-02-07 17:59:40,2026-02-07 19:00:00,0,0
AVAILABILITY-data - 2026-02-11T160458.126.csv,1,367,4,363,2,0,1,4872907.0,5254339.0,2026-02-07 18:59:40,2026-02-07 20:00:00,0,0
AVAILABILITY-data - 2026-02-11T160501.676.csv,1,367,4,363,2,0,1,4536982.0,5103045.0,2026-02-07 19:59:40,2026-02-07 21:00:00,0,0
